* Categories *,* Colour *,* ID *
"Heating, Ventilation and Air Conditioning",https://www.youtube.com/embed/_Er_J28Kj4w&list=PLLPZVmpSEVzwx2g38iob_UDFG8BKLVWFY&index=16,"5,6"
"Heating, Ventilation and Air Conditioning ",https://www.youtube.com/embed/h6t5f7wKUWI&list=PLBBD27DE60692B177&index=23,"5,6"
Hire Industry,https://www.youtube.com/embed/-k_nFcclIpY,2
Hospital and Operating Theatre,https://www.youtube.com/embed/jlJnQOQN6sU,1
Hospital Theatre,https://www.youtube.com/embed/qeY7EmIv7vw,2
Hospitality,https://www.youtube.com/embed/YtbJvGvaXtk&list=PLLPZVmpSEVzyCXuNJWgaav5IN2-cakLbD&index=12,2
Inland Revenue,https://www.youtube.com/embed/oH5ghvUUTqw,"1,2"
Interior Designer ,https://www.youtube.com/embed/L5frPQ4Kz1w,"4,5"
Interior Systems,https://www.youtube.com/embed/bfMqjTBZS1Y&list=PLLPZVmpSEVzx3xYkTLTMokawHE6x-6tBC&index=8,"5,6"
Interior Systems,https://www.youtube.com/embed/1GVaAr4-Apw&index=5&list=PLLPZVmpSEVzyn3c2uKNED9ePovcVyvTF0,"5,6"
Irrigation,https://www.youtube.com/embed/TxwRvsrU1Zg,"3,6"
Joinery,https://www.youtube.com/embed/RQCSsjHkVys&list=PLLPZVmpSEVzyn3c2uKNED9ePovcVyvTF0&index=3,"4,6"
KFC,https://www.youtube.com/embed/vcbiM5RVnZ4,2
Kura Kaupapa Primary Teacher,https://www.youtube.com/embed/CDeTYnlh6n4,1
Landscaping,https://www.youtube.com/embed/J9VY85U7oxg,"3,4,5"
Line Fishing,https://www.youtube.com/embed/yAQTNIy_zu0,3
Log Transportation,https://www.youtube.com/embed/G1z0PAjzcDc,2
Logistics and Freight Forwarding ,https://www.youtube.com/embed/YiLHsTf1Ldk,2
Maritime Hospitality - Interislander,https://www.youtube.com/embed/YYVzYiTE8_o&list=PLLPZVmpSEVzyCXuNJWgaav5IN2-cakLbD&index=14,3
McDonalds,https://www.youtube.com/embed/54kt0xYOlMo,2
McDonalds - Crew Member,https://www.youtube.com/embed/3LF_ofBrgfU&index=17&list=PLLPZVmpSEVzyCXuNJWgaav5IN2-cakLbD,2
McDonalds - Head Office Careers NZ,https://www.youtube.com/embed/PTtwH4z0Zjk&list=PLLPZVmpSEVzyCXuNJWgaav5IN2-cakLbD&index=19,2
McDonalds - Restaurant Manager,https://www.youtube.com/embed/1mARKTY_LVo&list=PLLPZVmpSEVzyCXuNJWgaav5IN2-cakLbD&index=18,2
Meat Processing,https://www.youtube.com/embed/E5O4l7wkZ9A,3
Mechanical Engineer ,https://www.youtube.com/embed/vlh7eED7w-8&index=24&list=PLBBD27DE60692B177,6
Mechanical Engineering Technician ,https://www.youtube.com/embed/rt-HAx0qxaQ&list=PLLPZVmpSEVzwx2g38iob_UDFG8BKLVWFY&index=13,6
Medical Laboratory Scientist,https://www.youtube.com/embed/KDCjlhhnfgI&list=PLLPZVmpSEVzzdYQIcGLDy8iZx0NI6tbIE&index=3,1
Medical Laboratory Scientist,https://www.youtube.com/embed/_5yo31Pjx0c,2
Medical Laboratory Scientist,https://www.youtube.com/embed/6eZnK5YTvt0,1
Mental Health,https://www.youtube.com/embed/gu_hiRkIqLY&index=10&list=PLLPZVmpSEVzzdYQIcGLDy8iZx0NI6tbIE,1
Mining,https://www.youtube.com/embed/Cif6Opn7WC0,"3,5,6"
Motor Trimming,https://www.youtube.com/embed/oXt39x7v5jA&list=PLLPZVmpSEVzw_l02-YQRiSwiutXFOQrca&index=13,6
Motorcycle Engineering,https://www.youtube.com/embed/rEt16Mh7DZw&list=PLLPZVmpSEVzw_l02-YQRiSwiutXFOQrca&index=9,6
Museum Host - Te Papa,https://www.youtube.com/embed/OC7rgjdYuUE,2
Mussel Farming,https://www.youtube.com/embed/nHQh0dqJXyA,3
Navy,https://www.youtube.com/embed/vZTLh3r-fCI,"1,2,6"
Navy Officer,https://www.youtube.com/embed/fmm_GoYHHGs,"1,2"
Nurse with Dept of Corrections,https://www.youtube.com/embed/VwfkIoEPfHk&list=PLLPZVmpSEVzzdYQIcGLDy8iZx0NI6tbIE&index=13,1
Nurseryman Production,https://www.youtube.com/embed/BuAmOvDtrME,"3,5"
NZ Army Electronics Technician ,https://www.youtube.com/embed/8-z9lbsxHJE,"1,2,6"
Occupational Therapy,https://www.youtube.com/embed/EmSweaCCnjA,2
Ophthalmology with The Eye Institute ,https://www.youtube.com/embed/s4TNlR_WLgs,1
Optometrist,https://www.youtube.com/embed/1NB4YA9Q7bw&list=PLBBD27DE60692B177&index=10,1
Optometrist2 ,https://www.youtube.com/embed/puglVoGRHxo&index=9&list=PLBBD27DE60692B177,1
Optometry - Study Path,https://www.youtube.com/embed/9YJHUrVkTh4,1
Optometry with Specsavers,https://www.youtube.com/embed/Og8imIV8Qqk,1
Outdoor Power Equipment Technician,https://www.youtube.com/embed/KJbb4K-fqRY,6
Outdoor Recreation,https://www.youtube.com/embed/466NTNIutos&index=13&list=PLLPZVmpSEVzyCXuNJWgaav5IN2-cakLbD,1
Outdoor Recreation Guide/Instructor,https://www.youtube.com/embed/wGme19zkJfc,6
Overseas Experience,https://www.youtube.com/embed/gebZMJ4DK_8,0
Painting and Decorating,https://www.youtube.com/embed/ZVChVtgFHvM&list=PLLPZVmpSEVzyn3c2uKNED9ePovcVyvTF0&index=12,"4,5"
Painting and Decorating,https://www.youtube.com/embed/XL1dFu2RS7E,"4,5"
Painting and Decorating ,https://www.youtube.com/embed/XL1dFu2RS7E&list=PLLPZVmpSEVzx3xYkTLTMokawHE6x-6tBC&index=12,"4,5"
Pavement Surfacing,https://www.youtube.com/embed/PxvWJicLNyk&list=PLLPZVmpSEVzwx2g38iob_UDFG8BKLVWFY&index=10,"5,6"
Performing Arts Teacher,https://www.youtube.com/embed/YFup_YOi58Q,"1,3"
Personal Fitness Trainer,https://www.youtube.com/embed/MkEeepRne-k,2
Petrochemical Engineer,https://www.youtube.com/embed/LurOPb6lbxI&index=15&list=PLLPZVmpSEVzwx2g38iob_UDFG8BKLVWFY,6
Pharmacist,https://www.youtube.com/embed/0xxcQQtZKzI&index=2&list=PLLPZVmpSEVzzdYQIcGLDy8iZx0NI6tbIE,1
Pharmacy Technician,https://www.youtube.com/embed/-jjeKxpAEZM&index=1&list=PLLPZVmpSEVzzdYQIcGLDy8iZx0NI6tbIE,1
Physiotherapy and Occupational Therapy,https://www.youtube.com/embed/BiK0w39ZvlM,1
Pizza Hut,https://www.youtube.com/embed/f9Slq2ck7xQ,2
Plumbing,https://www.youtube.com/embed/F3iCl8pyN4c&list=PLLPZVmpSEVzwf6kgA4UFsdglBi3fSx0H_&index=6,5
Power Technician & Line Mechanic,https://www.youtube.com/embed/FhrRS4LPhNI,6
Production Worker ,https://www.youtube.com/embed/6UEojp7lCks,6
Public Health Doctor,https://www.youtube.com/embed/xvn3wiHb81E,1
Public Health Nurse,https://www.youtube.com/embed/-u4kpl3nvcA&index=7&list=PLLPZVmpSEVzzdYQIcGLDy8iZx0NI6tbIE,1
Public Health Programme Coordinator,https://www.youtube.com/embed/vSBq9zlId7A,1
Public Health Promotion,https://www.youtube.com/embed/XBmYf1Dusiw,2
Quarrying,https://www.youtube.com/embed/VgGtM5PPcT8&list=PLLPZVmpSEVzyNxeeQJYFYvK_5KA0lAxh9,"5,6"
Real Estate,https://www.youtube.com/embed/FEiF0fMUpvA&list=PLLPZVmpSEVzwf6kgA4UFsdglBi3fSx0H_,2
Real Estate,https://www.youtube.com/embed/qL5JdlIwKao&index=13&list=PLLPZVmpSEVzwf6kgA4UFsdglBi3fSx0H_,2
Refrigeration Engineering,https://www.youtube.com/embed/s8RHouFMRvc&list=PLLPZVmpSEVzwx2g38iob_UDFG8BKLVWFY&index=11,6
Removalist,https://www.youtube.com/embed/C2EslRuYiJI,2
Residential Building,https://www.youtube.com/embed/f5XtNxwGEWM&list=PLLPZVmpSEVzx3xYkTLTMokawHE6x-6tBC,5
Residential Building,https://www.youtube.com/embed/sgd0APsLSXQ,5
Resin Flooring,https://www.youtube.com/embed/vzZ-4dK79mQ&list=PLLPZVmpSEVzx3xYkTLTMokawHE6x-6tBC&index=2,5
Resource Recovery,https://www.youtube.com/embed/KZ0WJRlLoP8,2
Resource Teacher in Learning and Behaviour,https://www.youtube.com/embed/APZ8NVYik9A&list=PLLPZVmpSEVzzFmiKgA9xsZf-woMJg7Beu&index=5,2
Restaurant Manager,https://www.youtube.com/embed/nD1SLSzOVIU&list=PLBBD27DE60692B177&index=3,2
Retail,https://www.youtube.com/embed/ecAPuWZmjjo,2
Retail Account Manager,https://www.youtube.com/embed/Tn-om7472DM&index=7&list=PLLPZVmpSEVzyCXuNJWgaav5IN2-cakLbD,2
Retail Buying,https://www.youtube.com/embed/wXNIk5KOlGE&list=PLLPZVmpSEVzyCXuNJWgaav5IN2-cakLbD&index=6,2
Retail Meat Industry,https://www.youtube.com/embed/DXsBJg1lsXM,2
Retail Sales - Mitre 10 Mega,https://www.youtube.com/embed/yRtZiEjWvUk&index=2&list=PLLPZVmpSEVzyCXuNJWgaav5IN2-cakLbD,2
Retail Sales - Overland Shoes,https://www.youtube.com/embed/_WasP1uCXkE&list=PLLPZVmpSEVzyCXuNJWgaav5IN2-cakLbD&index=3,2
Retail Sales Assistant,https://www.youtube.com/embed/n-K255cyBDk&list=PLBBD27DE60692B177&index=5,2
RNZAF - Air Security Specialist ,https://www.youtube.com/embed/Ku4OgU8AdQI&list=PLLPZVmpSEVzxhhwQ0z7A5DB74NDAjPPdI&index=9,"1,2"
RNZAF - Air Warfare Specialist ,https://www.youtube.com/embed/lf5X10Q-YyA&index=8&list=PLLPZVmpSEVzxhhwQ0z7A5DB74NDAjPPdI,"1,2"
RNZAF Aircraft Technician,https://www.youtube.com/embed/v2P-N0Bj7XI&list=PLLPZVmpSEVzxhhwQ0z7A5DB74NDAjPPdI&index=6,"1,2,6"
RNZAF Avionics,https://www.youtube.com/embed/qkqVP6v2DUU&list=PLLPZVmpSEVzxhhwQ0z7A5DB74NDAjPPdI&index=2,"1,2,6"
RNZAF Avionics Technician,https://www.youtube.com/embed/wCMx5ruDa5E,"1,2,6"
RNZAF Communication and Information Systems Technician,https://www.youtube.com/embed/2ph272spWds&list=PLLPZVmpSEVzxhhwQ0z7A5DB74NDAjPPdI&index=5,"1,2,6"
RNZAF Engineering Officer,https://www.youtube.com/embed/TU0Z1xadbu0&list=PLLPZVmpSEVzxhhwQ0z7A5DB74NDAjPPdI&index=7,"1,2,6"
RNZAF Pilot,https://www.youtube.com/embed/C48Lr07wyrs&list=PLLPZVmpSEVzxhhwQ0z7A5DB74NDAjPPdI,"1,2"
RNZAF Safety and Surface Technician,https://www.youtube.com/embed/y2UXNd5eW5g&list=PLLPZVmpSEVzxhhwQ0z7A5DB74NDAjPPdI&index=3,"1,2"
Road Construction,https://www.youtube.com/embed/f8a95Nkg2fA&list=PLLPZVmpSEVzwx2g38iob_UDFG8BKLVWFY&index=2,"5,6"
Roadmarking,https://www.youtube.com/embed/C8Z2qOAEGGk,5
Roofer ,https://www.youtube.com/embed/1nnBxjEFlIw&index=20&list=PLBBD27DE60692B177,5
Roofing,https://www.youtube.com/embed/QpN3_BMl7K8&list=PLLPZVmpSEVzwf6kgA4UFsdglBi3fSx0H_&index=3,5
Roofing,https://www.youtube.com/embed/GE0k2HAPGGg&index=10&list=PLLPZVmpSEVzwf6kgA4UFsdglBi3fSx0H_,5
Rural Contracting,https://www.youtube.com/embed/zlKzxsKxcTM&index=2&list=PLLPZVmpSEVzz7jXkheuUflts3aDI49nSf,"2,3"
Rural Contracting,https://www.youtube.com/embed/zlKzxsKxcTM&list=PLLPZVmpSEVzz7jXkheuUflts3aDI49nSf&index=2,"2,3"
Rural Servicing,https://www.youtube.com/embed/FAwU8j0RgYM,"2,3"
Salmon Farming,https://www.youtube.com/embed/hh-4onzMvfU,3
Saw Mill,https://www.youtube.com/embed/TCaqBBR63sU,"3,6"
Scaffolder ,https://www.youtube.com/embed/nr0jvM9-YUc&index=21&list=PLBBD27DE60692B177,5
