* Categories *,* Colour *,* ID *
"Forestry Truck Driver ",https://www.youtube.com/embed/9Teew6OTV6E,4
"Frame and Truss Manufacturing ",https://www.youtube.com/embed/WZVjPgGn2ns,7
"Frame and Truss Manufacturing ",https://www.youtube.com/embed/WZVjPgGn2ns,8
"Freight Forward - Export",https://www.youtube.com/embed/_3Hz_2tOw8M,4
"Freight Forwarder ",https://www.youtube.com/embed/VAIhY8fArvk,4
"Freight Forwarding - Import",https://www.youtube.com/embed/3uUeHeoM_gE,4
"Fruit Production",https://www.youtube.com/embed/bpYHwJs3-4Y,5
"Furniture Manufacturing",https://www.youtube.com/embed/utHqEjyiCEI,6
"Furniture Manufacturing",https://www.youtube.com/embed/utHqEjyiCEI,8
"Gardener",https://www.youtube.com/embed/PhL00P2kZkM,4
"Gardener",https://www.youtube.com/embed/PhL00P2kZkM,5
"Gas Technician",https://www.youtube.com/embed/hMdMj9wCmlo,7
"General Practitioner and Medical Lab Scientist",https://www.youtube.com/embed/Vg6E4k1KbKE,3
"Glass Making Industry",https://www.youtube.com/embed/rh1__rssMU4,7
"Glass Making Industry",https://www.youtube.com/embed/rh1__rssMU4,8
"Gold Mining",https://www.youtube.com/embed/ksXHnxyjUiw,5
"Gold Mining",https://www.youtube.com/embed/ksXHnxyjUiw,7
"Gold Mining",https://www.youtube.com/embed/ksXHnxyjUiw,8
"Golf Course Management ",https://www.youtube.com/embed/qvotefPGpUc,4
"Golf Course Management ",https://www.youtube.com/embed/qvotefPGpUc,5
"Hairdresser/Barber",https://www.youtube.com/embed/KoPueruP_X0,4
"Hairdresser/Barber",https://www.youtube.com/embed/KoPueruP_X0,6
"Hairdressing",https://www.youtube.com/embed/6SDSDk1PAgk,4
"Hairdressing",https://www.youtube.com/embed/6SDSDk1PAgk,6
"Hairdressing",https://www.youtube.com/embed/8Q09RtXCCeI,4
"Hairdressing",https://www.youtube.com/embed/8Q09RtXCCeI,6
"Health Protection Officer",https://www.youtube.com/embed/VzK59mUGMxE,3
"Health Protection Officer",https://www.youtube.com/embed/VzK59mUGMxE,3
"Health Protection Officer and a Public Health Nurse",https://www.youtube.com/embed/CU3WAvW_CW0,3
"Heating, Ventilation and Air Conditioning",https://www.youtube.com/embed/_Er_J28Kj4w,7
"Heating, Ventilation and Air Conditioning",https://www.youtube.com/embed/_Er_J28Kj4w,8
"Heating, Ventilation and Air Conditioning ",https://www.youtube.com/embed/h6t5f7wKUWI,7
"Heating, Ventilation and Air Conditioning ",https://www.youtube.com/embed/h6t5f7wKUWI,8
"Hire Industry",https://www.youtube.com/embed/-k_nFcclIpY,4
"Hospital and Operating Theatre",https://www.youtube.com/embed/jlJnQOQN6sU,3
"Hospital Theatre",https://www.youtube.com/embed/qeY7EmIv7vw,4
"Hospitality",https://www.youtube.com/embed/YtbJvGvaXtk,4
"Inland Revenue",https://www.youtube.com/embed/oH5ghvUUTqw,3
"Inland Revenue",https://www.youtube.com/embed/oH5ghvUUTqw,4
"Interior Designer ",https://www.youtube.com/embed/L5frPQ4Kz1w,6
"Interior Designer ",https://www.youtube.com/embed/L5frPQ4Kz1w,7
"Interior Systems",https://www.youtube.com/embed/bfMqjTBZS1Y,7
"Interior Systems",https://www.youtube.com/embed/bfMqjTBZS1Y,8
"Irrigation",https://www.youtube.com/embed/TxwRvsrU1Zg,5
"Irrigation",https://www.youtube.com/embed/TxwRvsrU1Zg,8
"KFC",https://www.youtube.com/embed/vcbiM5RVnZ4,4
"Kura Kaupapa Primary Teacher",https://www.youtube.com/embed/CDeTYnlh6n4,3
"Landscaping",https://www.youtube.com/embed/J9VY85U7oxg,5
"Landscaping",https://www.youtube.com/embed/J9VY85U7oxg,6
"Landscaping",https://www.youtube.com/embed/J9VY85U7oxg,7
"Line Fishing",https://www.youtube.com/embed/yAQTNIy_zu0,5
"Log Transportation",https://www.youtube.com/embed/G1z0PAjzcDc,4
"Logistics and Freight Forwarding ",https://www.youtube.com/embed/YiLHsTf1Ldk,4
"Maritime Hospitality - Interislander",https://www.youtube.com/embed/YYVzYiTE8_o,5
"McDonalds",https://www.youtube.com/embed/54kt0xYOlMo,4
"McDonalds - Crew Member",https://www.youtube.com/embed/3LF_ofBrgfU,4
"McDonalds - Head Office Careers NZ",https://www.youtube.com/embed/PTtwH4z0Zjk,4
"McDonalds - Restaurant Manager",https://www.youtube.com/embed/1mARKTY_LVo,4
"Meat Processing",https://www.youtube.com/embed/E5O4l7wkZ9A,5
"Mechanical Engineer ",https://www.youtube.com/embed/vlh7eED7w-8,8
"Mechanical Engineering Technician ",https://www.youtube.com/embed/rt-HAx0qxaQ,8
"Medical Laboratory Scientist",https://www.youtube.com/embed/KDCjlhhnfgI,3
"Medical Laboratory Scientist",https://www.youtube.com/embed/_5yo31Pjx0c,4
"Medical Laboratory Scientist",https://www.youtube.com/embed/6eZnK5YTvt0,3
"Mental Health",https://www.youtube.com/embed/gu_hiRkIqLY,3
"Mining",https://www.youtube.com/embed/Cif6Opn7WC0,5
"Mining",https://www.youtube.com/embed/Cif6Opn7WC0,7
"Mining",https://www.youtube.com/embed/Cif6Opn7WC0,8
"Motor Trimming",https://www.youtube.com/embed/oXt39x7v5jA,8
"Motorcycle Engineering",https://www.youtube.com/embed/rEt16Mh7DZw,8
"Museum Host - Te Papa",https://www.youtube.com/embed/OC7rgjdYuUE,4
"Mussel Farming",https://www.youtube.com/embed/nHQh0dqJXyA,5
"Navy",https://www.youtube.com/embed/vZTLh3r-fCI,3
"Navy",https://www.youtube.com/embed/vZTLh3r-fCI,4
"Navy",https://www.youtube.com/embed/vZTLh3r-fCI,8
"Navy Officer",https://www.youtube.com/embed/fmm_GoYHHGs,3
"Navy Officer",https://www.youtube.com/embed/fmm_GoYHHGs,4
"Nurse with Dept of Corrections",https://www.youtube.com/embed/VwfkIoEPfHk,3
"Nurseryman Production",https://www.youtube.com/embed/BuAmOvDtrME,5
"Nurseryman Production",https://www.youtube.com/embed/BuAmOvDtrME,7
"NZ Army Electronics Technician ",https://www.youtube.com/embed/8-z9lbsxHJE,3
"NZ Army Electronics Technician ",https://www.youtube.com/embed/8-z9lbsxHJE,4
"NZ Army Electronics Technician ",https://www.youtube.com/embed/8-z9lbsxHJE,8
"Occupational Therapy",https://www.youtube.com/embed/EmSweaCCnjA,4
"Ophthalmology with The Eye Institute ",https://www.youtube.com/embed/s4TNlR_WLgs,3
"Optometrist",https://www.youtube.com/embed/1NB4YA9Q7bw,3
"Optometrist2 ",https://www.youtube.com/embed/puglVoGRHxo,3
"Optometry - Study Path",https://www.youtube.com/embed/9YJHUrVkTh4,3
"Optometry with Specsavers",https://www.youtube.com/embed/Og8imIV8Qqk,3
"Outdoor Power Equipment Technician",https://www.youtube.com/embed/KJbb4K-fqRY,8
"Outdoor Recreation",https://www.youtube.com/embed/466NTNIutos,3
"Outdoor Recreation Guide/Instructor",https://www.youtube.com/embed/wGme19zkJfc,8
"Overseas Experience",https://www.youtube.com/embed/gebZMJ4DK_8,2
"Painting and Decorating",https://www.youtube.com/embed/XL1dFu2RS7E,6
"Painting and Decorating",https://www.youtube.com/embed/XL1dFu2RS7E,7
"Painting and Decorating ",https://www.youtube.com/embed/XL1dFu2RS7E,6
"Painting and Decorating ",https://www.youtube.com/embed/XL1dFu2RS7E,7
"Pavement Surfacing",https://www.youtube.com/embed/PxvWJicLNyk,7
"Pavement Surfacing",https://www.youtube.com/embed/PxvWJicLNyk,8
"Performing Arts Teacher",https://www.youtube.com/embed/YFup_YOi58Q,3
"Performing Arts Teacher",https://www.youtube.com/embed/YFup_YOi58Q,5
"Personal Fitness Trainer",https://www.youtube.com/embed/MkEeepRne-k,4
"Petrochemical Engineer",https://www.youtube.com/embed/LurOPb6lbxI,8
"Pharmacist",https://www.youtube.com/embed/0xxcQQtZKzI,3
"Pharmacy Technician",https://www.youtube.com/embed/-jjeKxpAEZM,3
"Physiotherapy and Occupational Therapy",https://www.youtube.com/embed/BiK0w39ZvlM,3
"Pizza Hut",https://www.youtube.com/embed/f9Slq2ck7xQ,4
"Plumbing",https://www.youtube.com/embed/F3iCl8pyN4c,7
"Power Technician & Line Mechanic",https://www.youtube.com/embed/FhrRS4LPhNI,8
"Production Worker ",https://www.youtube.com/embed/6UEojp7lCks,8
"Public Health Doctor",https://www.youtube.com/embed/xvn3wiHb81E,3
"Public Health Nurse",https://www.youtube.com/embed/-u4kpl3nvcA,3
"Public Health Programme Coordinator",https://www.youtube.com/embed/vSBq9zlId7A,3
"Public Health Promotion",https://www.youtube.com/embed/XBmYf1Dusiw,4
"Quarrying",https://www.youtube.com/embed/VgGtM5PPcT8,7
"Quarrying",https://www.youtube.com/embed/VgGtM5PPcT8,8
"Real Estate",https://www.youtube.com/embed/FEiF0fMUpvA,4
"Real Estate",https://www.youtube.com/embed/qL5JdlIwKao,4
"Refrigeration Engineering",https://www.youtube.com/embed/s8RHouFMRvc,8
"Removalist",https://www.youtube.com/embed/C2EslRuYiJI,4
"Residential Building",https://www.youtube.com/embed/f5XtNxwGEWM,7
"Resin Flooring",https://www.youtube.com/embed/vzZ-4dK79mQ,7
"Resource Recovery",https://www.youtube.com/embed/KZ0WJRlLoP8,4
"Resource Teacher in Learning and Behaviour",https://www.youtube.com/embed/APZ8NVYik9A,4
"Restaurant Manager",https://www.youtube.com/embed/nD1SLSzOVIU,4
"Retail Account Manager",https://www.youtube.com/embed/Tn-om7472DM,4
"Retail Buying",https://www.youtube.com/embed/wXNIk5KOlGE,4
"Retail Meat Industry",https://www.youtube.com/embed/DXsBJg1lsXM,4
"Retail Sales - Mitre 10 Mega",https://www.youtube.com/embed/yRtZiEjWvUk,4
"Retail Sales - Overland Shoes",https://www.youtube.com/embed/_WasP1uCXkE,4
"Retail Sales Assistant",https://www.youtube.com/embed/n-K255cyBDk,4
"RNZAF - Air Security Specialist ",https://www.youtube.com/embed/Ku4OgU8AdQI,3
"RNZAF - Air Security Specialist ",https://www.youtube.com/embed/Ku4OgU8AdQI,4
"RNZAF - Air Warfare Specialist ",https://www.youtube.com/embed/lf5X10Q-YyA,3
"RNZAF - Air Warfare Specialist ",https://www.youtube.com/embed/lf5X10Q-YyA,4
"RNZAF Aircraft Technician",https://www.youtube.com/embed/v2P-N0Bj7XI,3
"RNZAF Aircraft Technician",https://www.youtube.com/embed/v2P-N0Bj7XI,4
"RNZAF Aircraft Technician",https://www.youtube.com/embed/v2P-N0Bj7XI,8
"RNZAF Avionics",https://www.youtube.com/embed/qkqVP6v2DUU,3
"RNZAF Avionics",https://www.youtube.com/embed/qkqVP6v2DUU,4
"RNZAF Avionics",https://www.youtube.com/embed/qkqVP6v2DUU,8
"RNZAF Avionics Technician",https://www.youtube.com/embed/wCMx5ruDa5E,3
"RNZAF Avionics Technician",https://www.youtube.com/embed/wCMx5ruDa5E,4
"RNZAF Avionics Technician",https://www.youtube.com/embed/wCMx5ruDa5E,8
"RNZAF Communication and Information Systems Technician",https://www.youtube.com/embed/2ph272spWds,3
"RNZAF Communication and Information Systems Technician",https://www.youtube.com/embed/2ph272spWds,4
"RNZAF Communication and Information Systems Technician",https://www.youtube.com/embed/2ph272spWds,8
"RNZAF Engineering Officer",https://www.youtube.com/embed/TU0Z1xadbu0,3
"RNZAF Engineering Officer",https://www.youtube.com/embed/TU0Z1xadbu0,4
"RNZAF Engineering Officer",https://www.youtube.com/embed/TU0Z1xadbu0,8
"RNZAF Pilot",https://www.youtube.com/embed/C48Lr07wyrs,3
